H,S,V,class
12,177,105,branco
12,186,100,branco
12,181,103,branco
12,174,107,branco
12,168,111,branco
12,166,112,branco
12,165,113,branco
12,163,114,branco
12,171,97,branco
9,155,79,branco
11,153,75,branco
9,147,66,branco
10,141,65,branco
8,127,54,branco
8,136,58,branco
6,150,63,branco
8,154,83,branco
9,152,89,branco
10,154,104,branco
11,154,101,branco
9,145,104,branco
8,145,102,branco
11,145,79,branco
10,134,80,branco
10,108,102,branco
10,110,97,branco
13,103,102,branco
14,96,106,branco
12,125,90,branco
11,127,94,branco
10,126,111,branco
12,183,102,branco
12,188,99,branco
12,167,99,branco
12,169,98,branco
10,159,98,branco
10,154,91,branco
9,166,80,branco
9,145,67,branco
7,130,63,branco
8,134,59,branco
6,134,55,branco
6,152,62,branco
8,152,84,branco
10,152,106,branco
11,150,104,branco
11,151,103,branco
11,153,102,branco
8,144,103,branco
9,143,100,branco
7,138,96,branco
11,119,88,branco
10,113,97,branco
9,132,114,branco
10,139,112,branco
12,179,104,branco
12,184,101,branco
11,154,114,branco
12,164,101,branco
12,166,100,branco
10,151,93,branco
9,154,88,branco
9,146,70,branco
9,140,69,branco
9,143,68,branco
7,128,64,branco
8,150,85,branco
9,151,101,branco
11,147,106,branco
12,147,104,branco
12,149,103,branco
9,148,102,branco
8,146,101,branco
9,146,98,branco
7,140,95,branco
10,117,94,branco
13,109,96,branco
13,130,88,branco
12,133,98,branco
10,131,109,branco
10,127,114,branco
10,138,113,branco
11,147,116,branco
11,149,115,branco
12,173,102,branco
11,181,100,branco
11,185,98,branco
11,187,97,branco
12,160,116,branco
12,162,104,branco
12,163,103,branco
12,163,102,branco
9,144,71,branco
9,142,61,branco
7,143,57,branco
9,162,93,branco
10,180,99,branco
11,145,107,branco
11,148,105,branco
8,152,97,branco
9,144,94,branco
9,147,92,branco
10,156,77,branco
10,132,81,branco
11,118,97,branco
12,126,93,branco
15,113,97,branco
15,106,101,branco
15,111,99,branco
13,127,90,branco
11,135,89,branco
12,131,99,branco
11,126,109,branco
10,129,111,branco
10,130,112,branco
11,137,110,branco
12,154,104,branco
12,152,106,branco
13,147,111,branco
13,146,112,branco
12,149,113,branco
11,144,117,branco
11,150,112,branco
11,146,115,branco
11,145,116,branco
11,153,115,branco
10,156,103,branco
11,181,97,branco
11,167,110,branco
10,161,111,branco
11,165,111,branco
11,152,116,branco
10,151,115,branco
12,168,100,branco
13,167,98,branco
12,164,98,branco
11,159,98,branco
11,157,96,branco
11,160,86,branco
11,160,83,branco
11,154,81,branco
10,157,70,branco
9,145,60,branco
10,145,58,branco
9,133,65,branco
9,135,72,branco
9,140,73,branco
9,150,90,branco
9,160,94,branco
12,159,104,branco
12,161,103,branco
10,153,105,branco
9,141,94,branco
10,140,91,branco
10,137,80,branco
12,131,76,branco
10,118,102,branco
12,122,96,branco
15,109,101,branco
17,99,103,branco
15,108,102,branco
13,126,91,branco
13,139,88,branco
12,128,106,branco
11,130,108,branco
11,133,113,branco
11,141,110,branco
12,153,105,branco
13,151,108,branco
13,144,113,branco
11,148,114,branco
10,159,112,branco
11,160,94,branco
11,164,92,branco
11,167,90,branco
10,164,87,branco
11,162,82,branco
11,164,81,branco
11,156,80,branco
11,160,78,branco
11,164,70,branco
10,153,65,branco
10,148,62,branco
10,150,61,branco
10,143,59,branco
10,137,67,branco
9,136,71,branco
10,140,71,branco
9,142,72,branco
10,159,90,branco
11,148,93,branco
11,146,94,branco
10,139,79,branco
12,140,80,branco
13,136,77,branco
12,113,99,branco
10,116,103,branco
12,121,97,branco
15,104,105,branco
17,96,106,branco
15,105,104,branco
13,123,93,branco
13,138,89,branco
11,131,115,branco
12,150,107,branco
13,148,110,branco
11,149,113,branco
11,185,91,branco
9,172,92,branco
11,164,84,branco
11,166,80,branco
11,158,79,branco
11,162,71,branco
10,155,69,branco
10,138,61,branco
10,143,64,branco
10,139,66,branco
10,142,70,branco
12,158,105,branco
11,148,100,branco
9,145,79,branco
12,144,78,branco
12,135,81,branco
10,119,101,branco
17,95,107,branco
13,121,95,branco
13,135,91,branco
12,129,101,branco
12,125,108,branco
11,127,110,branco
11,129,117,branco
12,147,109,branco
13,143,114,branco
10,158,113,branco
12,167,101,branco
13,165,99,branco
12,162,99,branco
11,158,95,branco
11,162,93,branco
11,165,91,branco
10,162,88,branco
11,168,79,branco
10,159,80,branco
10,158,68,branco
10,136,62,branco
9,158,84,branco
12,156,106,branco
10,157,91,branco
9,140,95,branco
9,142,81,branco
12,148,76,branco
12,132,83,branco
12,107,105,branco
10,120,100,branco
12,117,100,branco
15,106,103,branco
17,97,105,branco
13,133,92,branco
12,125,104,branco
12,121,112,branco
11,122,115,branco
11,128,118,branco
11,143,109,branco
13,141,116,branco
13,142,115,branco
11,164,112,branco
11,162,113,branco
11,161,114,branco
11,170,81,branco
11,170,78,branco
11,162,77,branco
9,138,63,branco
9,135,64,branco
10,160,67,branco
10,159,69,branco
12,155,107,branco
11,145,102,branco
9,140,82,branco
12,146,77,branco
12,131,84,branco
12,104,108,branco
12,111,106,branco
15,110,100,branco
17,100,102,branco
13,122,94,branco
13,132,93,branco
12,118,115,branco
11,119,118,branco
11,126,119,branco
11,144,108,branco
13,139,117,branco
11,143,118,branco
11,160,115,branco
12,165,102,branco
13,163,100,branco
12,161,100,branco
11,168,82,branco
11,172,80,branco
11,174,79,branco
9,149,65,branco
10,161,68,branco
11,166,69,branco
9,138,96,branco
12,105,107,branco
10,122,98,branco
12,109,108,branco
17,101,101,branco
13,138,118,branco
11,150,117,branco
11,157,117,branco
10,169,83,branco
11,177,78,branco
10,166,77,branco
9,151,64,branco
9,140,62,branco
10,150,107,branco
11,154,96,branco
11,151,98,branco
12,135,83,branco
12,109,103,branco
10,127,94,branco
12,120,113,branco
11,121,116,branco
13,137,119,branco
13,150,109,branco
11,149,118,branco
11,158,116,branco
9,150,68,branco
7,146,63,branco
11,169,68,branco
10,166,72,branco
11,157,94,branco
11,159,93,branco
11,156,95,branco
10,136,94,branco
9,126,97,branco
9,138,83,branco
12,132,85,branco
15,117,94,branco
17,102,100,branco
12,128,102,branco
11,120,117,branco
11,132,114,branco
12,149,108,branco
11,145,121,branco
12,175,108,branco
12,173,109,branco
12,167,113,branco
12,159,101,branco
12,158,102,branco
9,172,77,branco
10,175,73,branco
7,131,70,branco
10,145,74,branco
10,171,70,branco
9,135,98,branco
10,133,96,branco
9,132,87,branco
10,135,81,branco
15,102,107,branco
12,126,107,branco
11,125,112,branco
11,147,120,branco
12,160,110,branco
12,168,112,branco
12,164,115,branco
12,175,96,branco
13,174,94,branco
12,169,95,branco
12,167,96,branco
12,166,97,branco
9,177,75,branco
7,133,69,branco
9,138,70,branco
10,169,71,branco
11,176,71,branco
10,160,89,branco
9,133,100,branco
11,123,93,branco
12,108,109,branco
15,100,110,branco
17,92,111,branco
15,102,108,branco
13,141,87,branco
12,134,97,branco
12,129,105,branco
11,129,109,branco
12,156,103,branco
12,159,111,branco
12,154,109,branco
12,152,111,branco
12,157,112,branco
12,153,115,branco
12,170,111,branco
12,173,112,branco
12,166,114,branco
10,148,117,branco
12,177,95,branco
13,175,93,branco
12,171,94,branco
9,168,73,branco
11,171,73,branco
10,140,100,branco
9,131,101,branco
10,134,95,branco
12,123,91,branco
12,107,110,branco
15,103,106,branco
12,130,100,branco
11,134,112,branco
12,176,110,branco
10,147,118,branco
12,172,98,branco
13,170,96,branco
8,170,75,branco
8,163,72,branco
8,151,66,branco
10,143,75,branco
11,151,76,branco
11,167,75,branco
10,168,76,branco
10,140,102,branco
11,150,92,branco
9,134,99,branco
